Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Ukraine,5.44,10.65,18.12,3.76,7.38,16.01,6.73,13.31,18.38,0.08,0.35,1.22,1178.8,2357.7,4534,10428.1
United Arab Emirates,28.34,79.36,109.94,18.4,48.36,88.67,33.52,67.06,76.14,0.16,0.79,2.3,17186.6,19872,53708,123528.4
United Kingdom,33.66,90.01,123.5,19.86,55.56,81.83,45.08,90.12,101.26,1.28,1.81,3.08,34593.9,40590.2,46125.3,106088.1
United States of America,30.67,84.03,111.2,18.13,47.81,86.25,39.81,79.61,85.6,1.04,1.59,2.91,95412,112204.5,76329.6,175558
Uruguay,18.11,58.81,85.68,9,33.88,47.69,18.24,36.46,40,1.44,1.96,3.19,13932.7,16428.1,20795,47828.6
Uzbekistan,2.57,4.94,10.29,1.89,3.64,9.64,2.11,4.06,6.53,0.09,0.52,1.69,473.6,947.2,2255.2,5186.8
Vanuatu,3.77,7.34,12.35,3.41,5.82,14.49,4.62,9.1,11.62,0.11,0.74,2.26,452.4,872.5,3231.4,7432.1
Venezuela,4.7,9.28,14.36,3.17,5.39,13.96,6.32,12.51,15.2,1.07,1.62,2.94,2236.6,9265.9,15975.7,36744.2
Vietnam,2.31,4.44,8.85,1.5,2.85,8.09,2.11,4.08,5.69,0.1,0.69,2.14,916,1831.9,4163.5,9576.1
Yemen,1.76,3.71,7.87,1.31,2.69,7.24,0.78,1.46,3,0.1,0.61,1.92,143.1,156.1,650.3,1495.6
Zambia,1.83,3.8,7.78,1.82,2.76,8.42,1.06,2.06,3.34,0.08,0.27,1.01,276.8,553.6,1456.9,3350.9
Zimbabwe,2.85,6.01,10.58,2.53,4.12,11.37,2.72,5.39,7.56,0.08,0.32,1.14,452.7,888.7,1676.8,3856.7
