Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Syria,1.79,4.18,7.92,1.5,2.82,7.94,0.94,1.77,3.49,0.01,0.03,0.11,370.1,100.9,420.6,967.4
Sao Tome and Principe,2.52,5.81,10.03,1.84,3.5,9.06,1.49,2.93,5.11,0.06,0.40,1.22,501.2,1002.4,2386.7,5489.4
Tajikistan,2.24,4.85,10.24,1.92,3.81,10.67,1.34,2.53,5.74,0.01,0.08,0.26,116,369,1054.2,2424.6
Tanzania,1.65,4.13,7.27,1.83,2.7,9.06,0.76,1.46,2.79,0.08,0.30,1.25,155.1,310.1,1192.8,2743.4
Thailand,3.74,8.13,13.5,2.17,4.42,10.2,2.32,4.51,7.41,0.19,0.77,2.14,1865.7,2556.7,6910,15892.9
Timor-Leste,2,4.59,8.36,1.59,3.2,8.19,1.02,1.92,3.62,0.09,0.53,1.69,549.5,1051.3,2389.3,5495.4
Togo,1.5,3.62,6.79,1.75,2.68,9.25,0.64,1.23,2.42,0.08,0.34,1.17,66,226.2,942.6,2168.1
Tonga,4.42,9.25,16.45,3.15,6.29,14.13,2.97,5.79,10.29,0.00,0.06,0.10,1416.3,1947.4,4426,10179.7
Trinidad and Tobago,22.21,66.37,105.19,11.42,39.03,57,10.14,20.27,31.03,0.29,0.50,0.92,8637,10207.3,19629.5,45147.8
Tunisia,3.23,7.18,12.07,2.1,4.31,10.11,1.95,3.79,6.39,0.00,0.02,0.05,1049.3,2061.1,3747.4,8619.1
Turkey,6.57,13.55,25.16,4.08,8.14,19.13,4.73,9.3,17.81,0.19,0.34,0.51,3415.8,4590,10674.5,24551.4
Turkmenistan,1.16,2.7,5.69,1.04,2.07,6.8,0.36,0.56,1.47,0.01,0.10,0.23,3517,4835.9,8792.5,20222.9
Tuvalu,4.05,8.49,15.36,3.52,5.98,16.02,2.7,5.24,9.47,0.07,0.46,1.38,2088.6,3028.5,5221.5,12009.5
Uganda,1.59,4.09,7.14,1.38,2.87,7.25,0.73,1.4,2.74,0.07,0.13,1.03,48.2,163.9,964.4,2218.1
Ukraine,5.44,11.15,20.31,3.92,7.7,17.15,4.02,7.88,14.22,0.02,0.08,0.28,1178.8,2357.7,4534,10428.1
United Arab Emirates,26.37,74.41,116.44,16.86,45.19,81.75,13.51,27.03,41.93,0.05,0.25,0.67,17186.6,19872,53708,123528.4
United Kingdom,35.45,92.67,147.48,21.22,58.22,84.76,21.6,43.15,67.51,0.16,0.25,0.40,34593.9,40590.2,46125.3,106088.1
United States of America,47.97,117.62,180.65,28.15,67.75,114.96,29.53,59.05,89.38,0.23,0.38,0.66,95412,112204.5,76329.6,175558
Uruguay,18.81,59.31,95.04,9.54,34.92,48.24,8.41,16.81,25.95,0.52,0.73,1.17,13932.7,16428.1,20795,47828.6
Uzbekistan,2.43,5.18,11.3,1.97,3.8,11.2,1.55,2.95,6.8,0.01,0.05,0.16,473.6,947.2,2255.2,5186.8
Vanuatu,3.71,7.72,13.47,3.57,6.12,15.19,2.3,4.45,7.44,0.08,0.53,1.61,452.4,872.5,3231.4,7432.1
Venezuela,5.62,11.63,19.28,3.74,6.49,15.85,3.76,7.38,11.89,0.96,1.46,2.64,2236.6,9265.9,15975.7,36744.2
Vietnam,2.1,4.52,8.69,1.53,2.9,8.33,1.15,2.15,3.99,0.10,0.66,2.04,916,1831.9,4163.5,9576.1
Yemen,1.55,3.83,7.17,1.35,2.76,7.63,0.7,1.3,2.79,0.02,0.15,0.48,143.1,156.1,650.3,1495.6
Zambia,1.57,3.81,7.1,1.81,2.72,8.58,0.69,1.33,2.66,0.07,0.43,0.98,276.8,553.6,1456.9,3350.9
Zimbabwe,2.32,5.48,9.49,2.33,3.7,10.88,1.34,2.62,4.73,0.07,0.56,0.99,452.7,888.7,1676.8,3856.7
